Thread ID: 70154612562920
Fiber ID: 70154645137400
Total: 92.534922
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      3.182     0.000     0.000     3.182        1   ItemRepository#find_best_day 
  0.00      0.003     0.000     0.000     0.003        1   SalesIntelligence#group_invoices_by_date 
  0.00      0.000     0.000     0.000     0.000        1   Hash#keys 
  0.00      0.011     0.000     0.000     0.011        1   Customer#transactions 
  0.00      0.294     0.000     0.000     0.294        1   MerchantRepository#find_favorite_customer 
  0.00     80.684     0.000     0.000    80.684        1   MerchantRepository#revenue 

* indicates recursively called methods
Thread ID: 70154652559820
Fiber ID: 70154652559380
Total: 80.685267
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     80.685     0.000    66.533    14.152        1   Timeout#timeout 
  0.00     14.152     0.000    14.152     0.000        1   Kernel#sleep 
  0.00      0.000     0.000     0.000     0.000        1   Thread#raise 
  0.00      0.000     0.000     0.000     0.000        1   Timeout::ExitException#exception 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#current 

* indicates recursively called methods
Thread ID: 70154614182720
Fiber ID: 70154614395260
Total: 66.461334
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     66.461     0.000    53.784    12.677        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Thread#raise 
  0.00     12.677     0.000    12.677     0.000        1   Kernel#sleep 
  0.00      0.000     0.000     0.000     0.000        1   Timeout::ExitException#exception 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#current 

* indicates recursively called methods
Thread ID: 70154710315700
Fiber ID: 70154713112340
Total: 53.681815
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     53.682     0.000    38.916    14.766        1   Timeout#timeout 
  0.00     14.766     0.000    14.766     0.000        1   Kernel#sleep 
  0.00      0.000     0.000     0.000     0.000        1   Timeout::ExitException#exception 
  0.00      0.000     0.000     0.000     0.000        1   Thread#raise 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#current 

* indicates recursively called methods
Thread ID: 70154672014840
Fiber ID: 70154672147060
Total: 38.811776
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     38.812     0.000    35.597     3.215        1   Timeout#timeout 
  0.00      3.215     0.000     3.215     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 70154709652000
Fiber ID: 70154709651740
Total: 35.596327
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     35.596     0.000    33.768     1.828        1   Timeout#timeout 
  0.00      1.828     0.000     1.828     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 70154722113100
Fiber ID: 70154722112920
Total: 33.768201
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     33.768     0.000    33.474     0.294        1   Timeout#timeout 
  0.00      0.294     0.000     0.294     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 70154722147180
Fiber ID: 70154722147000
Total: 33.473294
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     33.473     0.000    33.224     0.249        1   Timeout#timeout 
  0.00      0.249     0.000     0.249     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 70154738283180
Fiber ID: 70154738282940
Total: 33.223505
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     33.224     0.000    18.237    14.987        1   Timeout#timeout 
  0.00     14.987     0.000    14.987     0.000        1   Kernel#sleep 
  0.00      0.000     0.000     0.000     0.000        1   Timeout::ExitException#exception 
  0.00      0.000     0.000     0.000     0.000        1   Thread#raise 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#current 

* indicates recursively called methods
Thread ID: 70154710290760
Fiber ID: 70154710295380
Total: 18.135411
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     18.135     0.000     3.184    14.951        1   Timeout#timeout 
  0.00     14.951     0.000    14.951     0.000        1   Kernel#sleep 
  0.00      0.000     0.000     0.000     0.000        1   Thread#raise 
  0.00      0.000     0.000     0.000     0.000        1   Timeout::ExitException#exception 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#current 

* indicates recursively called methods
Thread ID: 70154671872340
Fiber ID: 70154671982500
Total: 3.079785
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      3.080     0.000     0.000     3.080        1   Timeout#timeout 
  0.00      3.080     0.000     3.080     0.000        1   Kernel#sleep 

* indicates recursively called methods
